# Timeline sheet, cleaned edition — natural-history chronology combined with the original
# headline and women's political/civic timelines.
# id|year|sortYear|event|domain|keyFigures|orgs|places|theme|status|scope|sourceUrl|note
TL-BASE-004|1850|1850|Elizabeth Gaskell's house completed at 84 Plymouth Grove.|arts|Elizabeth Gaskell||Plymouth Grove|Literary / civic context|Existing workbook|Context|Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf|Potential cross-network salon links.
TL-NH-010|1858|1858|First Manchester Microscopical Society formed.|nat|Thomas Brittain and others|Manchester Microscopical Society|Manchester|Microscopy; instruments|Researched addition|Core|https://www.manchestermicroscopical.org.uk/mmshist.html|Distinguish from the society refounded in 1880.
TL-NH-011|1859|1859|Leo Grindon publishes Manchester Flora.|nat|Leo H. Grindon||Manchester and eighteen-mile radius|Publication; public botany|Researched addition|Core|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html|Map locations and named informants in the flora.
TL-NH-012|1860|1860|Manchester Field-Naturalists' Society founded.|nat|Leo H. Grindon; Joseph Sidebotham|Manchester Field-Naturalists' Society|Manchester|Field science; adult education|Researched addition|Core|https://lib-archives.ex.ac.uk/Record.aspx?id=EUL+MS+277&src=CalmView.Catalog|Add first excursion and officer list.
TL-BASE-005|1863|1863|Union and Emancipation Society founded.|reform||Union and Emancipation Society|Manchester|Anti-slavery|Existing workbook|Context|Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf|Trace overlapping memberships if evidenced.
TL-NH-013|1864|1864|Lydia Becker wins a gold medal in a botanical competition for herbarium specimens.|nat|Lydia Becker|Botanical Competition - formal organiser to verify|Manchester|Women in science; collecting|Researched addition|Core|https://www.museum.manchester.ac.uk/collections/botany|Identify organiser, venue, judging and relationship to her later campaigning.
TL-BASE-006|1867|1867|Manchester National Society for Women's Suffrage founded.|suff|Lydia Becker and others|Manchester National Society for Women's Suffrage|Manchester|Women's suffrage|Existing workbook|Cross-theme|Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf|Use Becker to connect scientific and political networks.
TL-BASE-007|1869|1869|Cross Street Chapel rebuilt.|civic||Cross Street Chapel|Manchester|Religion; reform|Existing workbook|Context|Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf|Check Unitarian natural-history participation.
TL-BASE-008|1874|1874|Ancoats Dispensary rebuilt as a key medical-aid site.|civic||Ancoats Dispensary|Ancoats|Health; reform|Existing workbook|Context|Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf|Potential connection through doctors/naturalists.
TL-BASE-009|1877|1877|Manchester Town Hall and Co-operative Wholesale Society HQ completed.|civic||Manchester Corporation; CWS|Manchester|Civic institutions|Existing workbook|Context|Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf|
TL-NH-014|1880|1880|Manchester Microscopical Society refounded on a broader basis.|nat|Society founders and members|Manchester Microscopical Society|Manchester|Microscopy; widening access|Researched addition|Core|https://www.manchestermicroscopical.org.uk/mmshist.html|Add membership occupations and instrument suppliers.
TL-NH-015|1888|1888|Manchester Museum opens to the public in the Owens College complex.|nat|Museum staff; donors; collectors|Manchester Museum / Owens College|Oxford Road|Museum; public science|Researched addition|Core|https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/|Distinguish institutional transfer, building completion and public opening dates.
TL-BASE-010|1894|1894|Manchester Ship Canal opens.|trade||Manchester Ship Canal Company|Greater Manchester|Infrastructure|Existing workbook|Context|Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf|Consider impacts on habitats and collecting landscapes.
TL-BASE-011|1895|1895|Manchester and Salford Women's Trades Council founded.|suff||Manchester and Salford Women's Trades Council|Manchester / Salford|Labour; women|Existing workbook|Context|Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf|
TL-NH-016|1902|1902|Manchester Entomological Society founded.|nat|Early society members|Manchester Entomological Society|Manchester|Entomology; amateur science|Researched addition|Post-Victorian|https://www.northwestinvertebrates.org.uk/document/manchester-entomological-society-annual-reports-proceedings-and-transactions-1904-1963-vols-1-to-61/|Keep as continuation rather than a Victorian event.
TL-NH-017|1904 / 1910 / 1917|1910|Melvill, Grindon and Bailey personal herbaria enter Manchester Museum in sequence.|nat|Cosmo Melvill; Leo H. Grindon; Charles Bailey|Manchester Museum|Oxford Road|Collection transfer; institutionalisation|Researched addition|Post-Victorian legacy|https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf|Explore ownership, valuation, cataloguing and loss of intermediary collectors' names.
TL-WOM-001|January 1867|1867|Formation of the Manchester Society for Women's Suffrage|suff|Lydia Becker; Elizabeth Wolstenholme-Elmy; Ursula Bright; Jacob Bright; Richard Pankhurst||Manchester|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|The society aimed to obtain the same voting rights for women as those granted to men. It later became the Manchester National Society for Women's Suffrage.
TL-WOM-002|14 April 1868|1868|First public meeting of the Manchester National Society for Women's Suffrage|suff|Lydia Becker; Agnes Pochin; Anne Robertson; Priscilla Bright McLaren||Free Trade Hall, Manchester|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|A milestone in the suffrage campaign featuring rare public speeches by women.
TL-WOM-003|30 October 1868|1868|Establishment of a new executive committee for the Manchester National Society for Women's Suffrage|suff|Lydia Becker; Elizabeth Wolstenholme-Elmy; Ursula Bright; Jacob Bright; Josephine Butler||Manchester|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|Restructuring intended to strengthen the society's advocacy for women's suffrage.
TL-WOM-004|1870|1870|Founding of the Women's Suffrage Journal|suff|Lydia Becker||Manchester|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|A central platform for the suffrage movement, disseminating information and rallying support.
TL-WOM-005|1893|1893|Appointment of Esther Roper as secretary of the Manchester National Society for Women's Suffrage|suff|Esther Roper||Manchester|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|Roper focused on recruiting working-class women and integrating trade-union efforts.
TL-WOM-006|1895|1895|Formation of the Manchester and Salford Women's Trades Council|suff|Sarah Dickenson; Frances Ashwell; Eva Gore-Booth||Manchester Town Hall|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|Encouraged women's participation in trade unions and later became involved in suffrage advocacy.
TL-WOM-007|16 August 1819|1819|Peterloo Massacre: pro-democracy rally advocating parliamentary reform|reform|Mary Fildes (President, Manchester Female Reform Society)||St. Peter's Field (now St. Peter's Square)|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|Mary Fildes led the female reformers' contingent; the peaceful protest turned tragic when cavalry charged the crowd.; Original sheet cites Wikipedia
TL-WOM-008|1833|1833|Formation of the Female Political Union of the Working Classes|reform|Mary Fildes; Mrs Broadhurst||Manchester|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|Established to involve working-class women in political discourse and broader social reform.; Original sheet cites Wikipedia
TL-WOM-009|2 December 1865|1865|Inauguration of the Manchester Schoolmistresses Association|suff|Elizabeth Wolstenholme (Founder); Anne Clough (Honorary Member)||Manchester|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|Supported women teachers and influenced the North of England Council for Promoting the Higher Education of Women.; Original sheet cites Wikipedia
TL-WOM-010|October 1866|1866|Emily Davies addresses the Manchester Schoolmistresses Board on women's higher education|suff|Emily Davies||Manchester|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|Advocated for women's access to university-level education and academic standards equivalent to men's institutions.; Original sheet cites Wikipedia
TL-WOM-011|1894|1894|Emmeline Pankhurst elected as Poor Law Guardian for Chorlton-on-Medlock|suff|Emmeline Pankhurst||Manchester Workhouse|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|She witnessed the dire conditions of the poor, particularly women, influencing her subsequent activism.; Original sheet cites Wikipedia
TL-WOM-012|1895|1895|Formation of the Manchester and Salford Women's Trades Council|suff|Sarah Dickenson; Eva Gore-Booth||Manchester Town Hall|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|Focused on working conditions for women and integrating them into trade unions; later intersected with suffrage.; Original sheet cites Manchester Historian; possible duplicate event row
TL-WOM-013|1908|1908|Margaret Ashton elected as Manchester's first female city councillor|suff|Margaret Ashton||Manchester Town Hall|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|Advocated for public-health initiatives, including mother-and-baby clinics, and supported pacifism during WWI.; Post-Victorian
TL-WOM-014|1846|1846|Opening of Peel Park|civic|||Salford|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|Celebrated as a major social-reform achievement; provided green space for public recreation.
TL-WOM-015|1850|1850|Inauguration of Salford Museum and Art Gallery|civic|||Salford|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|Marked the establishment of the UK's first free public library, promoting education and culture.
TL-WOM-016|1868|1868|Agnes Pochin's advocacy for women's suffrage|suff|Agnes Pochin||Salford / Free Trade Hall, Manchester|Women's political / civic history|Existing workbook|Original women’s timeline|VictorianManchester_KeyPeople.xlsx(1).pdf|Delivered a speech at the Free Trade Hall; her husband, then Mayor of Salford, chaired the meeting.
