id,name,field,place_type,date,gm_area,natural_history_relevance,connected_people,connected_organisations,latitude,longitude,location_precision,research_status,priority,open_question,links,source_url
PL-NH-011,Barton Moss and Botany Bay Wood,nat,Mossland / woodland,19th century,Salford,"Natural-history walking landscape shaped by drainage, planting and the railway.",Leo H. Grindon and field naturalists,Field-Naturalists' Society,53.478,-2.38,area,Researched for this,High,Explore access permissions and the relation between managed and 'wild' nature.,2,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
PL-NH-012,Cotterill Clough,nat,Clough / collecting site,19th century,Cheshire / Manchester hinterland,Celebrated collecting place for unusual plants within Manchester naturalists' excursion geography.,Manchester botanists,Field-Naturalists' Society,53.356,-2.29,area,Researched for this,High,Decide the geographical inclusion rule for Manchester's wider collecting hinterland.,2,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
PL-NH-013,Peter Street Natural History Museum,nat,Museum building,Opened 1835,Manchester,First major public home of the Natural History Society's collections.,John Leigh Philips; society donors and officers,Manchester Natural History Society,53.4784,-2.2478,site,Researched for this,Essential,"Add building, governance, audiences and collection arrangement.",5,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/
PL-NH-015,"Manchester Museum, Oxford Road",nat,Museum / university,Public opening 1888,Manchester,"Institutional destination for society, private and artisan natural-history collections.",Grindon; Sidebotham; Bailey; Melvill; Becker and others,Owens College / Manchester Museum,53.4665,-2.2345,site,Researched for this,Essential,Record separate accession dates and whose names disappeared during cataloguing.,9,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/
PL-NH-016,Manchester Museum Herbarium,nat,Collection space,19th–20th century,Manchester,"Destination for major personal herbaria and smaller collections, including incompletely identified women collectors.",Grindon; Bailey; Melvill; Becker; Carrington; Mrs Hopkins; Mrs P. Jaffrey,Manchester Museum,53.4667,-2.2341,site,Researched for this,Essential,Treat collection destination as a node distinct from the museum building.,8,https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
PL-NH-017,Pomona Gardens,nat,Commercial garden / leisure site,1845 onward,Manchester / Trafford,"Opened as Strawberry Gardens by William and Joseph Beardsley; connects horticulture, leisure and urban development.",William and Joseph Beardsley Cornbrook,,53.467,-2.272,site,"Core entry, added to",High,"Investigate plants, exhibitions, ownership and transformation from gardens to docks.",1,https://mousehouselife.wordpress.com/2023/10/25/escape-to-pomona-island/
PL-NH-018,Chorlton-on-Medlock,nat,Residential / educational district,19th century,Manchester,"Home area of Grindon and location of medical, educational and museum institutions.",Leo H. Grindon,Royal School of Medicine; Owens College; Field-Naturalists' Society,53.4685,-2.236,area,"Core entry, added to",High,"Map home, lecture sites and institutional proximity.",6,https://en.wikipedia.org/wiki/Chorlton-on-Medlock
PL-NH-019,Shudehill workshop,nat,Workplace / informal science site,Early 19th century,Manchester,Example of natural history practised alongside manual work rather than in a formal institution.,George Crozier,Informal artisan network,53.4855,-2.24,site,Needs checking,High,"Locate the workshop and identify trade, specimens and visitors.",2,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
PL-NH-020,"Mechanics' Institute building, Cooper Street",nat,Educational building,Founded 1824,Manchester,Adult self-education and lectures connecting artisan learning to institutional science.,John Horsefield; Leo H. Grindon,Manchester Mechanics' Institute,53.4783,-2.2408,site,"Core entry, added to",High,"Find attendance, lecture and membership evidence.",2,https://historicengland.org.uk/listing/the-list/list-entry/1406283
PL-NH-021,Manchester Royal School of Medicine,nat,Educational institution,19th century,Manchester,Grindon lectured in botany here from 1852 until absorption into Owens College.,Leo H. Grindon,Royal School of Medicine,53.479,-2.238,site,Researched for this,High,"Add precise address, dates and student/audience profile.",2,https://lib-archives.ex.ac.uk/Record.aspx?id=EUL+MS+277&src=CalmView.Catalog
PL-NH-022,River Irwell,nat,River / environmental system,19th century,Manchester / Salford,"Connects industrial pollution, urban growth, river valleys and naturalists' observations.",Manchester field naturalists,,53.483,-2.26,line,"Core entry, added to",High,"Use as an environmental relationship, not only an infrastructure boundary.",1,https://en.wikipedia.org/wiki/River_Irwell
PL-BASE-001,St. Ann's Church & Square,civic,,1712,Manchester,Public protest; Religion; Site of political gatherings and reformist speeches,Mary Fildes (spoke nearby during Peterloo),,53.4818,-2.2452,site,Background entry,Context,,1,https://www.stannsmanchester.com/
PL-BASE-002,Manchester Royal Infirmary,civic,Medical institution,1752,Manchester,Founded by Charles White; began with 12 beds in a small house.,Eva Gore-Booth; working-class women's care,,53.48,-2.236,site,Background entry,Context,,5,https://en.wikipedia.org/wiki/Manchester_Royal_Infirmary
PL-BASE-003,Bridgewater Canal,trade,,1761,Manchester,First true industrial canal; transported coal from Worsley to Manchester.,,,53.468,-2.28,line,Background entry,Context,,1,https://www.historic-uk.com/HistoryMagazine/DestinationsUK/The-Bridgewater-Canal/
PL-BASE-004,Castlefield Basin,trade,,1761,Manchester,Terminus of the Bridgewater Canal; central to Manchester's canal network.,,,53.475,-2.253,site,Background entry,Context,,4,https://en.wikipedia.org/wiki/Castlefield
PL-BASE-005,Rochdale Canal,trade,,1804,Manchester,Connected Manchester to Sowerby Bridge; integral to the canal network.,,,53.479,-2.233,line,Background entry,Context,,1,https://canalrivertrust.org.uk/canals-and-rivers/rochdale-canal
PL-BASE-006,Portico Library,arts,,1806,Manchester,Literary; Women's Voices; Space where women's writing and lectures took place,Elizabeth Gaskell; Lydia Becker,,53.4795,-2.24,site,Background entry,Context,,2,https://www.theportico.org.uk/our-history
PL-BASE-007,Market Street,trade,,1820,Manchester,Development of retail spaces catering to the growing urban population.,,,53.482,-2.239,site,Background entry,Context,,1,"https://en.wikipedia.org/wiki/Market_Street,_Manchester"
PL-BASE-008,Manchester Art Gallery,arts,,1824,Manchester,Women in Arts; Cultural Reform; Hosted works by and about women; supported female artists,Elizabeth Gaskell; suffrage artists,,53.479,-2.241,site,Background entry,Context,,3,https://manchesterartgallery.org/about/
PL-BASE-009,Liverpool and Manchester Railway station,trade,,1830,Manchester,,,,53.4763,-2.2545,site,Background entry,Context,,1,https://www.scienceandindustrymuseum.org.uk/objects-and-stories/liverpool-road-station
PL-BASE-010,Salford Workhouse,civic,,1841,Salford,Poverty; Health Reform; Highlighted harsh conditions women reformers tried to change,Florence Nightingale (visited),,53.483,-2.308,site,Background entry,Context,,2,https://www.workhouses.org.uk/Salford/
PL-BASE-011,London Road Station (Piccadilly),trade,,1842,Manchester,Transport; Women's Movement; Enabled national suffrage-movement coordination from Manchester,Eva Gore-Booth; suffragists,,53.4774,-2.2309,site,Background entry,Context,,2,https://en.wikipedia.org/wiki/Manchester_Piccadilly_station
PL-BASE-012,Victoria Station,trade,,1844,Manchester,Labour; Mobility; Enabled travel to meetings and union hubs; vital for women activists,Caroline Martyn (labour travels); Esther Roper,,53.4874,-2.2425,site,Background entry,Context,,2,https://historicengland.org.uk/listing/the-list/list-entry/1254725
PL-BASE-013,Peel Park,civic,,1846,Salford,One of the first public parks in the UK; funded by public subscription.,,,53.488,-2.274,site,Background entry,Context,,5,https://www.salford.gov.uk/parks-and-open-spaces/salford-parks/peel-park/
PL-BASE-014,Philips Park,civic,,1846,Manchester,,,,53.487,-2.199,site,Background entry,Context,,2,https://www.parksandgardens.org/places/philips-park-manchester
PL-BASE-015,Queens Park,civic,,1846,Manchester,,,,53.502,-2.217,site,Background entry,Context,,1,https://historicengland.org.uk/listing/the-list/list-entry/1001523
PL-BASE-016,Bank of England (King Street),trade,,1846,Manchester,Designed by Charles Cockerell; served as the Bank's Manchester branch.,,,53.4806,-2.2452,site,Background entry,Context,,2,"https://en.wikipedia.org/wiki/Former_Bank_of_England,_Manchester"
PL-BASE-018,St. John's Cathedral,civic,,1848,Manchester,Also known as Salford Cathedral; significant religious site reflecting the city's diverse community.,,,53.4855,-2.262,site,Background entry,Context,,1,https://salfordcathedral.co.uk/history/
PL-BASE-019,Elizabeth Gaskell's House (84 Plymouth Grove),arts,,1850,Manchester,"Literary; Women's Voices; Salon space for writers, social reformers and women thinkers",Elizabeth Gaskell,,53.4638,-2.2192,site,Background entry,Context,,2,https://elizabethgaskellhouse.co.uk/
PL-BASE-020,Salford Museum and Art Gallery,arts,Museum,1850,Salford,Housed in Lark Hill Mansion; became the UK's first free public library and later a museum and art gallery.,Leo H. Grindon and Salford collectors,Salford Museum and Art Gallery,53.4877,-2.2735,site,Background entry,Context,Clarify collections and relationships with Manchester institutions.,4,https://salfordmuseum.com/
PL-BASE-021,Owen's College (precursor to University of Manchester),nat,,1851,Manchester,One of the earliest institutions to open higher education to women in Manchester,,,53.4668,-2.2339,site,Background entry,Context,,1,https://www.manchester.ac.uk/about/history-heritage/history/victoria/
PL-BASE-022,Free Trade Hall,reform,,1853,Manchester,Protest; Suffrage; Reform; Hosted major speeches including suffrage and labour activism,Mary Fildes; Lydia Becker; Eva Gore-Booth,,53.4783,-2.2482,site,Background entry,Context,,6,https://historicengland.org.uk/education/schools-resources/educational-images/free-trade-hall-peter-street-manchester-greater-manchester-ioe01-12423-08
PL-BASE-023,S&J Watts Warehouse (now Britannia Hotel),trade,,1856,Manchester,Built as a textile warehouse; now operates as the Britannia Manchester Hotel.,,,53.477,-2.2395,site,Background entry,Context,,1,https://historicengland.org.uk/images-books/photos/item/IOE01/04073/32
PL-BASE-024,Weaste Cemetery,civic,,1857,Salford,Final resting place of notable figures like Joseph and Martha Brotherton.,,,53.483,-2.305,site,Background entry,Context,,2,https://historicengland.org.uk/listing/the-list/list-entry/1001566
PL-BASE-025,Police Courts & Assizes (Strangeways),civic,,1868,Manchester,Legal Rights; Suffrage; Sites of legal debate around women's public roles,Esther Roper; Lydia Becker,,53.4925,-2.2456,site,Background entry,Context,,3,https://historicengland.org.uk/images-books/photos/collection/ACM01
PL-BASE-026,Strangeways Prison,civic,,1868,Manchester,"Central prison complex tied to Victorian justice system, including women's imprisonment",,,53.493,-2.245,site,Background entry,Context,,2,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?resourceID=19191&uid=1118911
PL-BASE-027,Co-operative Wholesale Society (CWS) Stores,reform,,1869,Manchester,Six-storey warehouse built on Balloon Street; central to the co- operative movement.,Women's Cooperative Guild members,,53.4855,-2.2385,site,Background entry,Context,,2,https://historicengland.org.uk/listing/the-list/list-entry/1357544
PL-BASE-029,Manchester Town Hall,civic,,1877,Manchester,"Civic Inclusion; Suffrage; Used for public lectures, suffrage meetings and civic ceremonies",Lydia Becker; Elizabeth Gaskell (symbolically),,53.4794,-2.2453,site,Background entry,Context,,8,https://www.manchester.gov.uk/the-council-and-democracy/town-hall-complex/town-hall/the-building
PL-BASE-030,Deaf and Dumb Institute (Grosvenor Street),civic,,1878,Manchester,Provided education for deaf children; significant social institution.,,,53.4715,-2.235,site,Background entry,Context,,1,https://historicengland.org.uk/listing/the-list/list-entry/1200839
PL-BASE-031,Lewis's,trade,,1880,Manchester,,,,53.4813,-2.2372,site,Background entry,Context,,1,https://historicengland.org.uk/listing/the-list/list-entry/1391992
PL-BASE-032,Whitworth Art Gallery,arts,,1889,Manchester,"Founded from a bequest, promoted public access to art and education",,,53.46,-2.2306,site,Background entry,Context,,2,https://www.whitworth.manchester.ac.uk/about/history/
PL-BASE-033,Castlefield Viaduct,trade,,1892,Manchester,Disused railway viaduct; played a key role in Manchester's industrial heritage.,,,53.4747,-2.2545,site,Background entry,Context,,1,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/castlefield-viaduct
PL-BASE-034,Manchester Ship Canal,trade,,1894,Manchester,Opened by Queen Victoria; transformed Manchester into an inland port.,,,53.47,-2.33,line,Background entry,Context,,2,https://www.historic-uk.com/HistoryMagazine/DestinationsUK/The-Manchester-Ship-Canal/
PL-BASE-035,Port of Manchester,trade,,1894,Manchester,Established following the opening of the Manchester Ship Canal.,,,53.472,-2.29,area,Background entry,Context,,1,https://www.historic-uk.com/HistoryMagazine/DestinationsUK/The-Manchester-Ship-Canal/
PL-BASE-036,Thirlmere viaduct,trade,,1895,Manchester,,,,53.532,-2.257,guess,Background entry,Context,,1,https://en.wikipedia.org/wiki/Thirlmere_Aqueduct
PL-BASE-037,John Rylands Library,civic,,1899,Manchester,Funded by Enriqueta Rylands in memory of her husband; rare example of female-led civic philanthropy,,,53.4794,-2.2508,site,Background entry,Context,,2,https://historicengland.org.uk/listing/the-list/list-entry/1217800
PL-BASE-038,Hotels,trade,,1903,Manchester,Built by the Midland Railway; example of Edwardian Baroque architecture.,,,53.4776,-2.2454,site,Background entry,Context,,1,https://historicengland.org.uk/listing/the-list/list-entry/1271154
PL-BASE-039,Salford Lads Club,civic,,1903,Salford,Youth club known for its cultural significance; associated with The Smiths.,,,53.47,-2.268,site,Background entry,Context,,2,https://historicengland.org.uk/listing/the-list/list-entry/1390580
PL-BASE-040,Lloyds Bank (King Street),trade,,1915,Manchester,Grand Baroque banking hall completed in Portland stone.,,,53.4804,-2.2456,site,Background entry,Context,,1,https://library.chethams.com/blog/charles-henry-heathcote-designing-victorian-and-edwardian-manchester/
PL-BASE-041,Chetham's College,civic,,1421 (buildings); 1653 (school),Manchester,Oldest surviving buildings in Manchester; now houses Chetham's School of Music.,,,53.4862,-2.2441,site,Background entry,Context,,1,https://chethamsschoolofmusic.com/about/chethams-history/
PL-BASE-042,Manchester Cathedral,civic,,1421 (rebuilt 1847),Manchester,Religion; Social Ethics; Reflected tensions between Anglicans and nonconformist women leaders,"Gaskell family, linked via Unitarian peers",,53.4855,-2.2444,site,Background entry,Context,,2,https://www.manchestercathedral.org/history/
PL-BASE-043,Manchester Grammar School,civic,,1515 (rebuilt 1870),Manchester,Historically male institution; part of broader education debates.,,,53.4865,-2.2415,site,Background entry,Context,,1,https://www.mgs.org/209/history
PL-BASE-044,Chetham's Library,civic,,1653 (library est.),Manchester,Education; Literacy; Hub for radical and literary activity; supported women's access,Lydia Becker (research access); Elizabeth Gaskell,,53.4861,-2.2438,site,Background entry,Context,,3,https://library.chethams.com/
PL-BASE-045,Cotton mills,trade,,1780s onwards,Manchester,Manchester's first cotton mill was built in the early 1780s; by 1830 there were 99 cotton-spinning mills.,,,53.4835,-2.223,area,Background entry,Context,,4,https://historicengland.org.uk/images-books/publications/ancoats/
PL-BASE-046,Ashton Canal,trade,,1796–1797,Manchester,Connected Manchester to Ashton-under-Lyne; vital for coal and cotton transport.,,,53.483,-2.21,line,Background entry,Context,,1,https://historicengland.org.uk/listing/the-list/list-entry/1197831
PL-BASE-047,Royal Exchange,trade,,1809 (rebuilt 1874); 1867 (rebuilt),Manchester,Industry; Gendered Labour; Symbol of commercial power and the male-dominated cotton trade; Center for cotton trade; symbol of Manchester's commercial prowess.,Eva Gore-Booth (linked via textile workers),,53.483,-2.2444,site,Background entry,Context,,1,https://historicengland.org.uk/listing/the-list/list-entry/1200826
PL-BASE-048,Athenaeum (Princess Street),civic,,1837–1839,Manchester,"Venue for literary, scientific, and political debate among gentlemen merchants.",,,53.4787,-2.2415,site,Background entry,Context,,2,https://en.wikipedia.org/wiki/Manchester_Athenaeum
PL-BASE-049,The Pankhurst Centre (building: Nelson St.),suff,,"1840s (house), museum later",Manchester,Birthplace of the suffragette movement; home of Emmeline Pankhurst.,,,53.4635,-2.2255,site,Background entry,Context,,1,https://www.pankhurstcentre.org.uk/
PL-BASE-050,Manchester Library,civic,,1852 (Ref Lib),Manchester,Literacy; Research Access; Enabled middle-class and working women to pursue self-education,Lydia Becker; Esther Roper,,53.4765,-2.2515,site,Background entry,Context,,2,https://www.manchester.gov.uk/centrallibrary
PL-BASE-051,The Hulme Hall Settlement,suff,,1890s,Manchester,Social settlement linked to women's reform work and university extension courses,,,53.47,-2.253,area,Background entry,Context,,2,"https://en.wikipedia.org/wiki/Hulme_Hall,_Manchester"
PL-BASE-052,Refuge Assurance Building,trade,Office building,1891–1932,Manchester,Now the Kimpton Clocktower Hotel; notable for its clock tower and ornate design.,,,53.4749,-2.2412,site,Background entry,Context,,1,https://historicengland.org.uk/images-books/photos/item/BL21901/010
PL-BASE-053,Manchester Stock Exchange (Norfolk Street),trade,,1904–1906,Manchester,Built in Edwardian Baroque style; now a Grade II listed hotel.,,,53.4813,-2.2436,site,Background entry,Context,,3,https://historicengland.org.uk/listing/the-list/list-entry/1271383
PL-BASE-054,Victoria Baths,civic,,1906 (slightly post-Victorian),Manchester,Important for women's health and hygiene access; symbol of civic pride.,,,53.462,-2.22,site,Background entry,Context,,1,https://historicengland.org.uk/listing/the-list/list-entry/1200808
PL-BASE-056,Warehouses,trade,,19th century,Manchester,Numerous warehouses built to support Manchester's booming trade and industry.,,,53.4757,-2.251,area,Background entry,Context,,1,https://historicengland.org.uk/listing/the-list/list-entry/1208653
PL-BASE-057,Piccadilly Basin,trade,,Early 19th century,Manchester,Key canal-basin area; central to Manchester's industrial transport network.,,,53.482,-2.229,site,Background entry,Context,,2,https://democracy.manchester.gov.uk/Data/Executive/20160601/Agenda/11_Piccadilly_Basin.pdf
PL-BASE-058,River Medlock,nat,,N/A,Manchester,Natural river running through Manchester and contributing to its industrial development.,,,53.472,-2.23,line,Background entry,Context,,1,https://historicengland.org.uk/listing/the-list/list-entry/1283003
PL-BASE-059,Cross Street Chapel,reform,,Rebuilt 1869,Manchester,"Religion; Equality; Reform; Unitarian hub advocating women's education, abolition and suffrage",Elizabeth Gaskell; Unitarian women,,53.4812,-2.2434,site,Background entry,Context,,2,https://cross-street-chapel.org.uk/a-brief-history-of-cross-street-chapel/
PL-BASE-060,Ancoats Dispensary,civic,,Rebuilt 1874,Manchester,Health Equity; Focal point of grassroots women-led public-health initiatives,Working-class women reformers; Florence Nightingale (influence),,53.482,-2.22,site,Background entry,Context,,3,https://historicengland.org.uk/listing/the-list/list-entry/1283019
PL-GUARDIAN,Manchester Guardian offices,press,,,,,,,53.4808,-2.2437,site,Needs checking,High,,13,
PL-ARTTREASURES,"Art Treasures Exhibition, Old Trafford",arts,,,,,,,53.462,-2.286,site,Needs checking,High,,1,
PL-GAIETY,"Gaiety Theatre, Manchester",arts,,,,,,,53.478,-2.2495,site,Needs checking,High,,2,
PL-PETERSFIELD,St Peter's Field,reform,,,,,,,53.4785,-2.2447,site,Needs checking,High,,2,https://en.wikipedia.org/wiki/Peterloo_Massacre
PL-OLDHAM,Gallery Oldham,nat,,,,,,,53.541,-2.115,site,Researched for this,High,,3,https://hla.oldham.gov.uk/gallery/collections/
PL-BOLTON,Bolton Museum and Art Gallery,nat,,,,,,,53.578,-2.429,site,Researched for this,High,,2,https://www.boltonlams.co.uk/collections
PL-TAMESIDE,Tameside museums and galleries,nat,,,,,,,53.4885,-2.0955,site,Researched for this,High,,3,https://www.tameside.gov.uk/librariesandleisure/museumsandgalleries/museums-and-galleries-collections-overview#nat
